,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,total_df,total_points,total_1stIn,total_2ndserve,total_1stWon,total_2ndWon,total_1st_perc,total_1st_win_perc,total_2nd_win_perc,aces_per_point,df_per_point
62024,1985-422,Cincinnati Masters,Hard,64,M,19850819,300,101414,4.0,,Boris Becker,R,190.0,GER,17.7412731006,101062,1.0,,Mats Wilander,R,183.0,SWE,20.9911019849,6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,1985,1980s,,,,,,,,,,,,
62795,1985-605,Masters,Carpet,16,M,19860114,15,100656,1.0,,Ivan Lendl,R,188.0,USA,25.8151950719,101414,,,Boris Becker,R,190.0,GER,18.1054072553,6-2 7-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1985,1980s,,,,,,,,,,,,
64524,1986-403,Boca West,Hard,128,M,19860210,300,100656,1.0,,Ivan Lendl,R,188.0,USA,25.9301848049,101062,2.0,,Mats Wilander,R,183.0,SWE,21.4702258727,3-6 6-1 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1986,1980s,,,,,,,,,,,,
64938,1986-416,Rome Masters,Clay,64,M,19860512,63,100656,1.0,,Ivan Lendl,R,188.0,USA,26.1793292266,101142,,,Emilio Sanchez,R,180.0,ESP,20.9527720739,7-5 4-6 6-1 6-1,5,F,,,,,,,,,,,,,,,,,,,,1.0,,34.0,,1986,1980s,,,,,,,,,,,,
65221,1986-421,Canada Masters,Hard,56,M,19860811,55,101414,2.0,,Boris Becker,R,190.0,GER,18.7186858316,101222,4.0,,Stefan Edberg,R,188.0,SWE,20.5585215606,6-4 3-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,3.0,,6.0,,1986,1980s,,,,,,,,,,,,
65284,1986-422,Cincinnati Masters,Hard,64,M,19860818,63,101062,1.0,,Mats Wilander,R,183.0,SWE,21.9876796715,100284,2.0,,Jimmy Connors,L,178.0,USA,33.9575633128,6-4 6-1,3,F,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,1986,1980s,,,,,,,,,,,,
66005,1986-605,Masters Dec,Carpet,8,M,19861201,5,100656,,,Ivan Lendl,R,188.0,USA,26.7351129363,101414,,,Boris Becker,R,190.0,GER,19.0253251198,6-4 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1986,1980s,,,,,,,,,,,,
67982,1987-403,Key Biscayne,Hard,128,M,19870223,127,101036,9.0,,Miloslav Mecir,R,190.0,SVK,22.765229295,100656,1.0,,Ivan Lendl,R,188.0,USA,26.9650924025,7-5 6-2 7-5,5,F,,,,,,,,,,,,,,,,,,,,9.0,,1.0,,1987,1980s,,,,,,,,,,,,
68037,1987-404,Indian Wells Masters,Hard,56,M,19870216,55,101414,2.0,,Boris Becker,R,190.0,GER,19.2361396304,101222,1.0,,Stefan Edberg,R,188.0,SWE,21.0759753593,6-4 6-4 7-5,5,F,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,1987,1980s,,,,,,,,,,,,
68420,1987-416,Rome Masters,Clay,64,M,19870511,63,101062,2.0,,Mats Wilander,R,183.0,SWE,22.7159479808,101073,11.0,,Martin Jaite,R,178.0,ARG,22.5845311431,6-3 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,4.0,,17.0,,1987,1980s,,,,,,,,,,,,
68702,1987-421,Canada Masters,Hard,56,M,19870810,55,100656,1.0,,Ivan Lendl,R,188.0,USA,27.4250513347,101222,2.0,,Stefan Edberg,R,188.0,SWE,21.5550992471,6-4 7-6,3,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1987,1980s,,,,,,,,,,,,
68765,1987-422,Cincinnati Masters,Hard,64,M,19870817,63,101222,2.0,,Stefan Edberg,R,188.0,SWE,21.5742642026,101414,3.0,,Boris Becker,R,190.0,GER,19.7344284736,6-4 6-1,3,F,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,1987,1980s,,,,,,,,,,,,
69635,1987-605,Masters,Carpet,8,M,19871202,5,100656,,,Ivan Lendl,R,188.0,USA,27.7316906229,101062,,,Mats Wilander,R,183.0,SWE,23.2717316906,6-2 6-2 6-3,5,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1987,1980s,,,,,,,,,,,,
71576,1988-403,Key Biscayne,Hard,128,M,19880314,127,101062,1.0,,Mats Wilander,R,183.0,SWE,23.5592060233,100284,2.0,,Jimmy Connors,L,178.0,USA,35.5290896646,6-4 4-6 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,1988,1980s,,,,,,,,,,,,
71631,1988-404,Indian Wells Masters,Hard,56,M,19880229,55,101414,3.0,,Boris Becker,R,190.0,GER,20.2710472279,101142,8.0,,Emilio Sanchez,R,180.0,ESP,22.7542778919,7-5 6-4 2-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,6.0,,18.0,,1988,1980s,,,,,,,,,,,,
71983,1988-416,Rome Masters,Clay,64,M,19880509,63,100656,1.0,,Ivan Lendl,R,188.0,USA,28.1724845996,101649,14.0,,Guillermo Perez Roldan,R,178.0,ARG,18.5516769336,2-6 6-4 6-2 4-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,26.0,,1988,1980s,,,,,,,,,,,,
72266,1988-421,Canada Masters,Hard,56,M,19880808,55,100656,1.0,,Ivan Lendl,R,188.0,USA,28.4216290212,100529,14.0,,Kevin Curren,R,185.0,USA,30.4366872005,7-6 6-2,3,F,,,,,,,,,,,,,,,,,,,,1.0,,29.0,,1988,1980s,,,,,,,,,,,,
72329,1988-422,Cincinnati Masters,Hard,64,M,19880815,63,101062,2.0,,Mats Wilander,R,183.0,SWE,23.9808350445,101222,1.0,,Stefan Edberg,R,188.0,SWE,22.5708418891,3-6 7-6 7-6,3,F,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,1988,1980s,,,,,,,,,,,,
73293,1988-605,Masters,Carpet,8,M,19881130,5,101414,,,Boris Becker,R,190.0,GER,21.0184804928,100656,,,Ivan Lendl,R,188.0,USA,28.7282683094,5-7 7-6 3-6 6-2 7-6,5,F,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,1988,1980s,,,,,,,,,,,,
75261,1989-403,Key Biscayne,Hard,128,M,19890320,127,100656,1.0,,Ivan Lendl,R,188.0,USA,29.0349075975,101404,7.0,,Thomas Muster,L,180.0,AUT,21.4647501711,W/O,5,F,,,,,,,,,,,,,,,,,,,,1.0,,14.0,,1989,1980s,,,,,,,,,,,,
75316,1989-404,Indian Wells Masters,Hard,56,M,19890313,55,101036,7.0,,Miloslav Mecir,R,190.0,SVK,24.8158795346,100676,12.0,,Yannick Noah,R,193.0,FRA,28.8186173854,3-6 2-6 6-1 6-2 6-3,5,F,,,,,,,,,,,,,,,,,,,,13.0,,18.0,,1989,1980s,,,,,,,,,,,,
75629,1989-416,Rome Masters,Clay,64,M,19890515,63,101606,11.0,,Alberto Mancini,R,180.0,ARG,19.9863107461,101736,2.0,,Andre Agassi,R,180.0,USA,19.0444900753,6-3 4-6 2-6 7-6 6-1,5,F,,,,,,,,,,,,,,,,,,,,25.0,,5.0,,1989,1980s,,,,,,,,,,,,
75912,1989-421,Canada Masters,Hard,56,M,19890814,55,100656,1.0,,Ivan Lendl,R,188.0,USA,29.4373716632,100581,2.0,,John McEnroe,L,180.0,USA,30.4914442163,6-1 6-3,3,F,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,1989,1980s,,,,,,,,,,,,
75975,1989-422,Cincinnati Masters,Hard,64,M,19890814,63,100763,5.0,,Brad Gilbert,R,185.0,USA,28.0136892539,101222,2.0,,Stefan Edberg,R,188.0,SWE,23.5674195756,6-4 2-6 7-6,3,F,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,1989,1980s,,,,,,,,,,,,
76938,1989-605,Masters,Carpet,8,M,19891128,12,101222,,,Stefan Edberg,R,188.0,SWE,23.8548939083,101414,,,Boris Becker,R,190.0,GER,22.0150581793,4-6 7-6 6-3 6-1,5,F,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,1989,1980s,,,,,,,,,,,,
78030,1990-404,Indian Wells Masters,Hard,56,M,19900305,55,101222,2.0,,Stefan Edberg,R,188.0,SWE,24.1232032854,101736,6.0,,Andre Agassi,R,180.0,USA,19.8494182067,6-4 5-7 7-6 7-6,5,F,,,,,,,,,,,,,,,,,,,,3.0,2357.0,8.0,1225.0,1990,1990s,,,,,,,,,,,,
78125,1990-403,Miami Masters,Hard,96,M,19900316,95,101736,5.0,,Andre Agassi,R,180.0,USA,19.8685831622,101222,3.0,,Stefan Edberg,R,188.0,SWE,24.1423682409,6-1 6-4 0-6 6-2,5,F,,,,,,,,,,,,,,,,,,,,5.0,1474.0,3.0,2546.0,1990,1990s,,,,,,,,,,,,
78564,1990-410,Monte Carlo Masters,Clay,56,M,19900423,55,101230,12.0,,Andrei Chesnokov,R,188.0,RUS,24.219028063,101404,,,Thomas Muster,L,180.0,AUT,22.5571526352,7-5 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,20.0,836.0,30.0,599.0,1990,1990s,,,,,,,,,,,,
78756,1990-414,Hamburg Masters,Clay,56,M,19900507,55,100809,,,Juan Aguilera,R,183.0,ESP,28.1259411362,101414,1.0,,Boris Becker,R,190.0,GER,22.4558521561,6-1 6-0 7-6,5,F,,,,,,,,,,,,,,,,,,,,26.0,689.0,3.0,2692.0,1990,1990s,,,,,,,,,,,,
78850,1990-416,Rome Masters,Clay,64,M,19900514,63,101404,10.0,,Thomas Muster,L,180.0,AUT,22.6146475017,101230,8.0,,Andrei Chesnokov,R,188.0,RUS,24.2765229295,6-1 6-3 6-1,5,F,,,,,,,,,,,,,,,,,,,,17.0,978.0,15.0,1026.0,1990,1990s,,,,,,,,,,,,
79669,1990-421,Canada Masters,Hard,56,M,19900723,55,102021,7.0,,Michael Chang,R,175.0,USA,18.4147843943,101309,4.0,,Jay Berger,R,180.0,USA,23.6550308008,4-6 6-3 7-6,3,F,,,,,,,,,,,,,,,,,,,,24.0,885.0,15.0,1059.0,1990,1990s,,,,,,,,,,,,
79864,1990-422,Cincinnati Masters,Hard,56,M,19900806,55,101222,1.0,,Stefan Edberg,R,188.0,SWE,24.5448323066,100763,4.0,,Brad Gilbert,R,185.0,USA,28.9911019849,6-1 6-1,3,F,,,,,,,,,,,,,,,,,,,,2.0,2905.0,7.0,1570.0,1990,1990s,,,,,,,,,,,,
80770,1990-429,Stockholm Masters,Carpet,48,M,19901022,47,101414,2.0,,Boris Becker,R,190.0,GER,22.9158110883,101222,1.0,,Stefan Edberg,R,188.0,SWE,24.7556468172,6-4 6-0 6-3,5,F,,,,,,,,,,,,,,,,,,,,2.0,3121.0,1.0,3384.0,1990,1990s,,,,,,,,,,,,
80817,1990-352,Paris Masters,Carpet,48,M,19901029,47,101222,1.0,,Stefan Edberg,R,188.0,SWE,24.7748117728,101414,2.0,,Boris Becker,R,190.0,GER,22.9349760438,3-3 RET,3,F,,,,,,,,,,,,,,,,,,,,1.0,3600.0,2.0,3453.0,1990,1990s,,,,,,,,,,,,
81675,1991-404,Indian Wells Masters,Hard,56,M,19910304,55,101793,16.0,,Jim Courier,R,185.0,USA,20.5448323066,101098,3.0,,Guy Forget,L,190.0,FRA,26.160164271,4-6 6-3 4-6 6-3 7-6(4),5,F,210.0,12.0,3.0,139.0,81.0,63.0,35.0,25.0,2.0,6.0,8.0,3.0,136.0,67.0,53.0,39.0,25.0,3.0,8.0,26.0,919.0,5.0,1730.0,1991,1990s,20.0,6.0,275.0,148.0,127.0,116.0,74.0,53.81818181818182,78.37837837837837,58.267716535433074,0.07272727272727272,0.02181818181818182
81770,1991-403,Miami Masters,Hard,96,M,19910315,95,101793,13.0,,Jim Courier,R,185.0,USA,20.5639972621,101609,,,David Wheaton,R,193.0,USA,21.7713894593,4-6 6-3 6-4,3,F,129.0,4.0,3.0,91.0,43.0,33.0,25.0,15.0,3.0,6.0,10.0,7.0,84.0,50.0,36.0,13.0,14.0,4.0,8.0,18.0,1137.0,46.0,688.0,1991,1990s,14.0,10.0,175.0,93.0,82.0,69.0,38.0,53.142857142857146,74.19354838709677,46.34146341463415,0.08,0.05714285714285714
82146,1991-410,Monte Carlo Masters,Clay,56,M,19910422,55,101843,9.0,,Sergi Bruguera,R,188.0,ESP,20.2628336756,101414,2.0,,Boris Becker,R,190.0,GER,23.4140999316,5-7 6-4 7-6(6) 7-6(4),5,F,252.0,4.0,3.0,179.0,113.0,71.0,34.0,23.0,17.0,24.0,3.0,1.0,155.0,100.0,69.0,23.0,23.0,8.0,15.0,15.0,1231.0,2.0,3440.0,1991,1990s,7.0,4.0,334.0,213.0,121.0,140.0,57.0,63.77245508982036,65.72769953051643,47.107438016528924,0.020958083832335328,0.011976047904191617
82424,1991-414,Hamburg Masters,Clay,56,M,19910506,55,101120,13.0,,Karel Novacek,R,190.0,CZE,26.0999315537,101320,,,Magnus Gustafsson,R,185.0,SWE,24.3367556468,6-3 6-3 5-7 0-6 6-1,5,F,176.0,3.0,3.0,140.0,80.0,48.0,30.0,22.0,6.0,14.0,3.0,10.0,145.0,98.0,59.0,14.0,21.0,6.0,15.0,26.0,983.0,21.0,1053.0,1991,1990s,6.0,13.0,285.0,178.0,107.0,107.0,44.0,62.45614035087719,60.1123595505618,41.12149532710281,0.021052631578947368,0.0456140350877193
82495,1991-416,Rome Masters,Clay,64,M,19910513,63,101142,9.0,,Emilio Sanchez,R,180.0,ESP,25.954825462,101606,,Q,Alberto Mancini,R,180.0,ARG,21.9794661191,6-3 6-1 3-0 RET,3,F,,,,,,,,,,,,,,,,,,,,16.0,1233.0,105.0,353.0,1991,1990s,,,,,,,,,,,,
83322,1991-421,Canada Masters,Hard,56,M,19910722,55,101230,12.0,,Andrei Chesnokov,R,188.0,RUS,25.4647501711,101434,,,Petr Korda,L,190.0,CZE,23.4934976044,3-6 6-4 6-3,3,F,108.0,2.0,1.0,83.0,43.0,25.0,22.0,14.0,7.0,12.0,0.0,3.0,91.0,58.0,32.0,17.0,14.0,8.0,14.0,32.0,762.0,40.0,687.0,1991,1990s,2.0,4.0,174.0,101.0,73.0,57.0,39.0,58.04597701149425,56.43564356435643,53.42465753424658,0.011494252873563218,0.022988505747126436
83525,1991-422,Cincinnati Masters,Hard,56,M,19910805,55,101098,6.0,,Guy Forget,L,190.0,FRA,26.5817932923,101948,7.0,,Pete Sampras,R,185.0,USA,19.9808350445,2-6 7-6(4) 6-4,3,F,124.0,14.0,1.0,84.0,50.0,41.0,21.0,15.0,3.0,5.0,14.0,1.0,85.0,52.0,44.0,21.0,15.0,0.0,1.0,7.0,1720.0,8.0,1561.0,1991,1990s,28.0,2.0,169.0,102.0,67.0,85.0,42.0,60.35502958579882,83.33333333333333,62.6865671641791,0.16568047337278108,0.011834319526627219
84467,1991-429,Stockholm Masters,Carpet,48,M,19911021,47,101414,2.0,,Boris Becker,R,190.0,GER,23.9123887748,101222,1.0,,Stefan Edberg,R,188.0,SWE,25.7522245038,3-6 6-4 1-6 6-2 6-2,5,F,199.0,15.0,6.0,143.0,78.0,61.0,25.0,21.0,12.0,17.0,7.0,3.0,118.0,75.0,54.0,17.0,21.0,3.0,9.0,2.0,3069.0,1.0,3980.0,1991,1990s,22.0,9.0,261.0,153.0,108.0,115.0,42.0,58.62068965517241,75.16339869281046,38.888888888888886,0.0842911877394636,0.034482758620689655
84545,1991-352,Paris Masters,Carpet,48,M,19911028,47,101098,5.0,,Guy Forget,L,190.0,FRA,26.8117727584,101948,6.0,,Pete Sampras,R,185.0,USA,20.2108145106,7-6(9) 4-6 5-7 6-4 6-4,5,F,223.0,28.0,1.0,165.0,94.0,72.0,35.0,27.0,5.0,11.0,21.0,2.0,163.0,98.0,72.0,32.0,27.0,12.0,18.0,6.0,2021.0,7.0,1863.0,1991,1990s,49.0,3.0,328.0,192.0,136.0,144.0,67.0,58.53658536585366,75.0,49.26470588235294,0.14939024390243902,0.009146341463414634
85406,1992-404,Indian Wells Masters,Hard,56,M,19920302,55,102021,12.0,,Michael Chang,R,175.0,USA,20.0246406571,101230,,,Andrei Chesnokov,R,188.0,RUS,26.0780287474,6-3 6-4 7-5,5,F,138.0,4.0,1.0,86.0,57.0,39.0,18.0,15.0,4.0,7.0,1.0,1.0,105.0,57.0,30.0,24.0,16.0,7.0,14.0,15.0,1432.0,36.0,850.0,1992,1990s,5.0,2.0,191.0,114.0,77.0,69.0,42.0,59.68586387434555,60.526315789473685,54.54545454545455,0.02617801047120419,0.010471204188481676
85501,1992-403,Miami Masters,Hard,96,M,19920313,95,102021,6.0,,Michael Chang,R,175.0,USA,20.0438056126,101606,20.0,,Alberto Mancini,R,180.0,ARG,22.803559206,7-5 7-5,3,F,111.0,2.0,0.0,75.0,51.0,31.0,14.0,12.0,1.0,4.0,0.0,2.0,63.0,36.0,26.0,10.0,12.0,2.0,7.0,9.0,1674.0,24.0,1090.0,1992,1990s,2.0,2.0,138.0,87.0,51.0,57.0,24.0,63.04347826086956,65.51724137931035,47.05882352941177,0.014492753623188406,0.014492753623188406
85950,1992-410,Monte Carlo Masters,Clay,56,M,19920420,55,101404,,,Thomas Muster,L,180.0,AUT,24.5503080082,101381,16.0,,Aaron Krickstein,R,183.0,USA,24.7173169062,6-3 6-1 6-3,5,F,100.0,1.0,0.0,74.0,57.0,37.0,14.0,12.0,4.0,5.0,2.0,0.0,76.0,45.0,20.0,17.0,13.0,4.0,11.0,37.0,857.0,24.0,1085.0,1992,1990s,3.0,0.0,150.0,102.0,48.0,57.0,31.0,68.0,55.88235294117647,64.58333333333333,0.02,0.0
86220,1992-414,Hamburg Masters,Clay,56,M,19920504,55,101222,1.0,,Stefan Edberg,R,188.0,SWE,26.288843258,101529,3.0,,Michael Stich,R,193.0,GER,23.5427789185,5-7 6-4 6-1,3,F,136.0,2.0,2.0,111.0,70.0,45.0,22.0,15.0,5.0,7.0,1.0,1.0,90.0,61.0,41.0,15.0,14.0,4.0,8.0,2.0,3241.0,5.0,2531.0,1992,1990s,3.0,3.0,201.0,131.0,70.0,86.0,37.0,65.17412935323384,65.64885496183206,52.857142857142854,0.014925373134328358,0.014925373134328358
86283,1992-416,Rome Masters,Clay,64,M,19920511,63,101793,1.0,,Jim Courier,R,185.0,USA,21.7330595483,101475,,,Carlos Costa,R,183.0,ESP,24.052019165,7-6(3) 6-0 6-4,5,F,152.0,8.0,0.0,97.0,62.0,49.0,15.0,14.0,10.0,12.0,4.0,3.0,85.0,41.0,28.0,18.0,14.0,5.0,11.0,1.0,3655.0,15.0,1357.0,1992,1990s,12.0,3.0,182.0,103.0,79.0,77.0,33.0,56.59340659340659,74.75728155339806,41.77215189873418,0.06593406593406594,0.016483516483516484
87054,1992-421,Canada Masters,Hard,56,M,19920720,55,101736,2.0,,Andre Agassi,R,180.0,USA,22.2258726899,100656,3.0,,Ivan Lendl,R,188.0,USA,32.3696098563,3-6 6-2 6-0,3,F,117.0,9.0,2.0,91.0,58.0,39.0,18.0,12.0,11.0,13.0,7.0,4.0,80.0,36.0,24.0,17.0,11.0,2.0,7.0,11.0,1612.0,12.0,1564.0,1992,1990s,16.0,6.0,171.0,94.0,77.0,63.0,35.0,54.97076023391813,67.02127659574468,45.45454545454545,0.0935672514619883,0.03508771929824561
87312,1992-422,Cincinnati Masters,Hard,56,M,19920810,55,101948,3.0,,Pete Sampras,R,185.0,USA,20.9965776865,100656,8.0,,Ivan Lendl,R,188.0,USA,32.4271047228,6-3 3-6 6-3,3,F,109.0,13.0,5.0,80.0,46.0,32.0,19.0,14.0,4.0,7.0,12.0,1.0,78.0,43.0,26.0,20.0,13.0,5.0,9.0,3.0,2830.0,11.0,1650.0,1992,1990s,25.0,6.0,158.0,89.0,69.0,58.0,39.0,56.32911392405063,65.1685393258427,56.52173913043478,0.15822784810126583,0.0379746835443038
88259,1992-429,Stockholm Masters,Carpet,48,M,19921026,47,101964,4.0,,Goran Ivanisevic,L,193.0,CRO,21.1197809719,101098,8.0,,Guy Forget,L,190.0,FRA,27.8083504449,7-6(2) 4-6 7-6(5) 6-2,5,F,168.0,30.0,7.0,121.0,66.0,55.0,33.0,21.0,0.0,1.0,17.0,1.0,132.0,73.0,58.0,32.0,21.0,3.0,5.0,7.0,2091.0,12.0,1584.0,1992,1990s,47.0,8.0,253.0,139.0,114.0,113.0,65.0,54.940711462450594,81.29496402877697,57.01754385964912,0.1857707509881423,0.03162055335968379
88337,1992-352,Paris Masters,Carpet,48,M,19921102,47,101414,9.0,,Boris Becker,R,190.0,GER,24.9472963723,101098,11.0,,Guy Forget,L,190.0,FRA,27.8275154004,7-6(3) 6-3 3-6 6-3,5,F,168.0,20.0,6.0,111.0,72.0,60.0,24.0,20.0,2.0,3.0,22.0,2.0,110.0,57.0,51.0,22.0,19.0,1.0,3.0,9.0,1794.0,14.0,1451.0,1992,1990s,42.0,8.0,221.0,129.0,92.0,111.0,46.0,58.3710407239819,86.04651162790698,50.0,0.19004524886877827,0.03619909502262444
89232,1993-404,Indian Wells Masters,Hard,56,M,19930301,55,101793,1.0,,Jim Courier,R,185.0,USA,22.5379876797,101965,14.0,,Wayne Ferreira,R,185.0,RSA,21.4592744695,6-3 6-3 6-1,5,F,120.0,6.0,3.0,74.0,38.0,33.0,23.0,13.0,3.0,3.0,13.0,5.0,86.0,40.0,28.0,17.0,12.0,6.0,11.0,1.0,3572.0,17.0,1326.0,1993,1990s,19.0,8.0,160.0,78.0,82.0,61.0,40.0,48.75,78.2051282051282,48.78048780487805,0.11875,0.05
89358,1993-403,Miami Masters,Hard,96,M,19930312,95,101948,2.0,,Pete Sampras,R,185.0,USA,21.5715263518,101613,14.0,,Malivai Washington,R,180.0,USA,23.7152635181,6-3 6-2,3,F,83.0,6.0,1.0,64.0,36.0,30.0,14.0,9.0,8.0,8.0,4.0,1.0,48.0,27.0,17.0,9.0,8.0,0.0,3.0,2.0,3241.0,18.0,1353.0,1993,1990s,10.0,2.0,112.0,63.0,49.0,47.0,23.0,56.25,74.60317460317461,46.93877551020408,0.08928571428571429,0.017857142857142856
89831,1993-410,Monte Carlo Masters,Clay,56,M,19930419,55,101843,11.0,,Sergi Bruguera,R,188.0,ESP,22.2559890486,101611,,,Cedric Pioline,R,188.0,FRA,23.8439425051,7-6(2) 6-0,3,F,97.0,1.0,0.0,48.0,24.0,19.0,16.0,9.0,0.0,2.0,1.0,2.0,76.0,42.0,24.0,12.0,9.0,12.0,17.0,16.0,1550.0,29.0,941.0,1993,1990s,2.0,2.0,124.0,66.0,58.0,43.0,28.0,53.225806451612904,65.15151515151516,48.275862068965516,0.016129032258064516,0.016129032258064516
90070,1993-414,Hamburg Masters,Clay,56,M,19930503,55,101529,6.0,,Michael Stich,R,193.0,GER,24.5393566051,101230,,,Andrei Chesnokov,R,188.0,RUS,27.2470910335,6-3 6-7(1) 7-6(7) 6-4,5,F,192.0,14.0,8.0,165.0,96.0,68.0,38.0,22.0,9.0,10.0,0.0,0.0,140.0,93.0,63.0,32.0,21.0,8.0,11.0,11.0,1828.0,74.0,574.0,1993,1990s,14.0,8.0,305.0,189.0,116.0,131.0,70.0,61.967213114754095,69.31216931216932,60.3448275862069,0.04590163934426229,0.02622950819672131
90195,1993-416,Rome Masters,Clay,64,M,19930510,63,101793,2.0,,Jim Courier,R,185.0,USA,22.7296372348,101964,4.0,,Goran Ivanisevic,L,193.0,CRO,21.6563997262,6-1 6-2 6-2,5,F,123.0,4.0,2.0,78.0,46.0,38.0,14.0,12.0,4.0,4.0,6.0,4.0,77.0,46.0,26.0,13.0,11.0,8.0,14.0,2.0,3517.0,6.0,2272.0,1993,1990s,10.0,6.0,155.0,92.0,63.0,64.0,27.0,59.354838709677416,69.56521739130434,42.857142857142854,0.06451612903225806,0.03870967741935484
91013,1993-421,Canada Masters,Hard,56,M,19930726,55,100944,,,Mikael Pernfors,R,173.0,SWE,30.0287474333,101774,13.0,,Todd Martin,R,198.0,USA,23.0499657769,2-6 6-2 7-5,3,F,140.0,2.0,1.0,98.0,63.0,42.0,17.0,14.0,7.0,11.0,10.0,0.0,90.0,58.0,38.0,14.0,14.0,3.0,8.0,95.0,447.0,20.0,1263.0,1993,1990s,12.0,1.0,188.0,121.0,67.0,80.0,31.0,64.36170212765957,66.11570247933884,46.26865671641791,0.06382978723404255,0.005319148936170213
91208,1993-422,Cincinnati Masters,Hard,56,M,19930809,55,102021,7.0,,Michael Chang,R,175.0,USA,21.4620123203,101222,3.0,,Stefan Edberg,R,188.0,SWE,27.5537303217,7-5 0-6 6-4,3,F,122.0,3.0,3.0,84.0,57.0,39.0,15.0,14.0,4.0,7.0,1.0,4.0,82.0,59.0,39.0,15.0,14.0,4.0,6.0,9.0,1982.0,3.0,3230.0,1993,1990s,4.0,7.0,166.0,116.0,50.0,78.0,30.0,69.87951807228916,67.24137931034483,60.0,0.024096385542168676,0.04216867469879518
92148,1993-429,Stockholm Masters,Carpet,48,M,19931025,47,101529,4.0,,Michael Stich,R,193.0,GER,25.0184804928,101964,8.0,,Goran Ivanisevic,L,193.0,CRO,22.1163586585,4-6 7-6(6) 7-6(3) 6-2,5,F,157.0,15.0,5.0,136.0,90.0,71.0,27.0,21.0,0.0,1.0,30.0,10.0,136.0,72.0,60.0,35.0,21.0,3.0,5.0,4.0,2598.0,10.0,2020.0,1993,1990s,45.0,15.0,272.0,162.0,110.0,131.0,62.0,59.55882352941177,80.8641975308642,56.36363636363637,0.16544117647058823,0.05514705882352941
92195,1993-352,Paris Masters,Carpet,48,M,19931101,47,101964,9.0,,Goran Ivanisevic,L,193.0,CRO,22.135523614,102446,8.0,,Andrei Medvedev,R,193.0,UKR,19.1704312115,6-4 6-2 7-6(2),5,F,106.0,27.0,4.0,83.0,50.0,48.0,16.0,15.0,3.0,4.0,8.0,1.0,100.0,62.0,45.0,14.0,15.0,3.0,7.0,11.0,1917.0,8.0,2145.0,1993,1990s,35.0,5.0,183.0,112.0,71.0,93.0,30.0,61.202185792349724,83.03571428571429,42.25352112676056,0.1912568306010929,0.0273224043715847
93126,1994-404,Indian Wells Masters,Hard,56,M,19940228,55,101948,1.0,,Pete Sampras,R,185.0,USA,22.5489390828,101434,10.0,,Petr Korda,L,190.0,CZE,26.0999315537,4-6 6-3 3-6 6-3 6-2,5,F,189.0,23.0,10.0,147.0,92.0,70.0,28.0,23.0,9.0,12.0,9.0,6.0,149.0,89.0,60.0,30.0,22.0,10.0,15.0,1.0,4573.0,14.0,1752.0,1994,1990s,32.0,16.0,296.0,181.0,115.0,130.0,58.0,61.148648648648646,71.8232044198895,50.43478260869565,0.10810810810810811,0.05405405405405406
93221,1994-403,Miami Masters,Hard,96,M,19940307,95,101948,1.0,,Pete Sampras,R,185.0,USA,22.5681040383,101736,24.0,,Andre Agassi,R,180.0,USA,23.8548939083,5-7 6-3 6-3,3,F,135.0,14.0,7.0,94.0,49.0,41.0,18.0,15.0,2.0,5.0,9.0,3.0,109.0,69.0,38.0,24.0,15.0,12.0,17.0,1.0,4916.0,31.0,1002.0,1994,1990s,23.0,10.0,203.0,118.0,85.0,79.0,42.0,58.12807881773399,66.94915254237289,49.411764705882355,0.11330049261083744,0.04926108374384237
