,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,total_df,total_points,total_1stIn,total_2ndserve,total_1stWon,total_2ndWon,total_1st_perc,total_1st_win_perc,total_2nd_win_perc,aces_per_point,df_per_point
14940,1973-421,Canada Masters,Clay,64,M,19730820,63,100084,3.0,,Tom Okker,R,178.0,NED,29.492128679,100174,4.0,,Manuel Orantes,L,178.0,ESP,24.5338809035,6-3 6-2 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1973,1970s,,,,,,,,,,,,
14971,1973-422,Cincinnati Masters,Clay,32,M,19730806,31,100119,1.0,,Ilie Nastase,R,183.0,ROU,27.0499657769,100174,3.0,,Manuel Orantes,L,178.0,ESP,24.4955509925,5-7 6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,1973,1970s,,,,,,,,,,,,
15843,1973-605,Masters,Carpet,8,M,19731204,5,100119,,,Ilie Nastase,R,183.0,ROU,27.3785078713,100084,,,Tom Okker,R,178.0,NED,29.7823408624,6-3 7-5 4-6 6-3,5,F,,,,,,,,,,,,,,,,,,,,1.0,0.0,4.0,0.0,1973,1970s,,,,,,,,,,,,
18679,1974-416,Rome Masters,Clay,64,M,19740526,63,100437,3.0,,Bjorn Borg,R,180.0,SWE,17.9685147159,100119,1.0,,Ilie Nastase,R,183.0,ROU,27.8521560575,6-3 6-4 6-2,5,F,,,,,,,,,,,,,,,,,,,,,,,,1974,1970s,,,,,,,,,,,,
18931,1974-421,Canada Masters,Clay,64,M,19740812,63,100282,6.0,,Guillermo Vilas,L,180.0,ARG,21.9849418207,100174,5.0,,Manuel Orantes,L,178.0,ESP,25.5112936345,6-4 6-2 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,1974,1970s,,,,,,,,,,,,
18962,1974-422,Cincinnati Masters,Clay,32,M,19740731,31,100060,1.0,,Marty Riessen,R,185.0,USA,32.6543463381,100144,2.0,,Robert Lutz,R,180.0,USA,26.9212867899,7-6 7-6,3,F,,,,,,,,,,,,,,,,,,,,14.0,0.0,42.0,0.0,1974,1970s,,,,,,,,,,,,
19886,1974-605,Masters,Grass,8,M,19741210,5,100282,,,Guillermo Vilas,L,180.0,ARG,22.3134839151,100119,,,Ilie Nastase,R,183.0,ROU,28.3942505133,7-6 6-2 3-6 3-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,,,,,1974,1970s,,,,,,,,,,,,
22901,1975-416,Rome Masters,Clay,64,M,19750525,63,100309,6.0,,Raul Ramirez,R,183.0,MEX,21.9274469541,100174,4.0,,Manuel Orantes,L,178.0,ESP,26.2943189596,7-6 7-5 7-5,5,F,,,,,,,,,,,,,,,,,,,,,,,,1975,1970s,,,,,,,,,,,,
23153,1975-421,Canada Masters,Clay,64,M,19750811,63,100174,3.0,,Manuel Orantes,L,178.0,ESP,26.507871321,100119,4.0,,Ilie Nastase,R,183.0,ROU,29.0622861054,7-6 6-0 6-1,5,F,,,,,,,,,,,,,,,,,,,,,,,,1975,1970s,,,,,,,,,,,,
23184,1975-422,Cincinnati Masters,Clay,32,M,19750729,31,100127,7.0,,Tom Gorman,R,180.0,USA,28.6078028747,100116,,,Sherwood Stewart,R,188.0,USA,29.144421629,7-5 2-6 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,1975,1970s,,,,,,,,,,,,
