,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace
81195,1991-580,Australian Open,Hard,128,G,19910114,127,101414,2.0,,Boris Becker,R,190.0,GER,23.1457905544,100656,3.0,,Ivan Lendl,R,188.0,USA,30.855578371,1-6 6-4 6-4 6-4,5,F,170.0,9.0,4.0,121.0,86.0,60.0,16.0,18.0,9.0,12.0,9.0,3.0,115.0,72.0,49.0,25.0,19.0,4.0,8.0,2.0,3528.0,3.0,2541.0,1991,1990s,18.0
82710,1991-520,Roland Garros,Clay,128,G,19910527,127,101793,9.0,,Jim Courier,R,185.0,USA,20.7748117728,101736,4.0,,Andre Agassi,R,180.0,USA,21.0759753593,3-6 6-4 2-6 6-1 6-4,5,F,205.0,9.0,2.0,145.0,88.0,57.0,33.0,22.0,14.0,19.0,1.0,2.0,133.0,80.0,52.0,26.0,22.0,7.0,13.0,9.0,1478.0,4.0,1872.0,1991,1990s,10.0
83052,1991-540,Wimbledon,Grass,128,G,19910624,127,101529,6.0,,Michael Stich,R,193.0,GER,22.6803559206,101414,2.0,,Boris Becker,R,190.0,GER,23.5865845311,6-4 7-6(4) 6-4,5,F,153.0,15.0,3.0,100.0,46.0,35.0,32.0,16.0,1.0,3.0,10.0,4.0,114.0,67.0,44.0,26.0,16.0,12.0,16.0,7.0,1621.0,2.0,3572.0,1991,1990s,25.0
83855,1991-560,US Open,Hard,128,G,19910826,127,101222,2.0,,Stefan Edberg,R,188.0,SWE,25.5989048597,101793,4.0,,Jim Courier,R,185.0,USA,21.0239561944,6-2 6-4 6-0,5,F,124.0,2.0,1.0,66.0,40.0,33.0,18.0,12.0,3.0,3.0,3.0,4.0,89.0,58.0,32.0,12.0,12.0,8.0,14.0,2.0,3310.0,5.0,2463.0,1991,1990s,5.0
84922,1992-580,Australian Open,Hard,128,G,19920113,127,101793,2.0,,Jim Courier,R,185.0,USA,21.4072553046,101222,1.0,,Stefan Edberg,R,188.0,SWE,25.9822039699,6-3 3-6 6-4 6-2,5,F,174.0,2.0,2.0,122.0,86.0,55.0,25.0,18.0,10.0,12.0,2.0,6.0,125.0,86.0,56.0,16.0,18.0,9.0,14.0,2.0,3199.0,1.0,3515.0,1992,1990s,4.0
86467,1992-520,Roland Garros,Clay,128,G,19920525,127,101793,1.0,,Jim Courier,R,185.0,USA,21.7713894593,101434,7.0,,Petr Korda,L,190.0,CZE,24.3367556468,7-5 6-2 6-1,5,F,119.0,7.0,3.0,91.0,68.0,52.0,9.0,14.0,4.0,6.0,5.0,10.0,106.0,69.0,39.0,10.0,13.0,7.0,14.0,1.0,3898.0,8.0,1825.0,1992,1990s,12.0
86773,1992-540,Wimbledon,Grass,128,G,19920622,127,101736,12.0,,Andre Agassi,R,180.0,USA,22.1492128679,101964,8.0,,Goran Ivanisevic,L,193.0,CRO,20.7748117728,6-7(8) 6-4 6-4 1-6 6-4,5,F,170.0,9.0,1.0,166.0,115.0,89.0,31.0,24.0,3.0,5.0,37.0,7.0,208.0,139.0,120.0,29.0,25.0,13.0,16.0,14.0,1345.0,8.0,1837.0,1992,1990s,46.0
87673,1992-560,US Open,Hard,128,G,19920831,127,101222,2.0,,Stefan Edberg,R,188.0,SWE,26.6146475017,101948,3.0,,Pete Sampras,R,185.0,USA,21.054072553,3-6 6-4 7-6(5) 6-2,5,F,175.0,8.0,5.0,134.0,82.0,67.0,23.0,19.0,8.0,10.0,10.0,11.0,156.0,85.0,64.0,30.0,20.0,8.0,12.0,2.0,3503.0,3.0,3116.0,1992,1990s,18.0
88776,1993-580,Australian Open,Hard,128,G,19930118,127,101793,1.0,,Jim Courier,R,185.0,USA,22.4229979466,101222,2.0,,Stefan Edberg,R,188.0,SWE,26.9979466119,6-2 6-1 2-6 7-5,5,F,,,,,,,,,,,,,,,,,,,,1.0,3599.0,2.0,3244.0,1993,1990s,
90379,1993-520,Roland Garros,Clay,128,G,19930524,127,101843,10.0,,Sergi Bruguera,R,188.0,ESP,22.3518138261,101793,2.0,,Jim Courier,R,185.0,USA,22.7679671458,6-4 2-6 6-2 3-6 6-3,5,F,,3.0,0.0,136.0,99.0,67.0,22.0,22.0,8.0,12.0,5.0,0.0,169.0,113.0,77.0,26.0,22.0,16.0,21.0,11.0,1908.0,2.0,3565.0,1993,1990s,8.0
90716,1993-540,Wimbledon,Grass,128,G,19930621,127,101948,1.0,,Pete Sampras,R,185.0,USA,21.8590006845,101793,3.0,,Jim Courier,R,185.0,USA,22.8446269678,7-6(3) 7-6(6) 3-6 6-3,5,F,,22.0,7.0,149.0,97.0,84.0,30.0,21.0,0.0,2.0,8.0,6.0,149.0,83.0,65.0,35.0,21.0,3.0,5.0,1.0,3880.0,2.0,3385.0,1993,1990s,30.0
91569,1993-560,US Open,Hard,128,G,19930830,127,101948,2.0,,Pete Sampras,R,185.0,USA,22.0506502396,101611,15.0,,Cedric Pioline,R,188.0,FRA,24.2080766598,6-4 6-4 6-3,5,F,,11.0,4.0,85.0,46.0,41.0,21.0,14.0,1.0,3.0,7.0,8.0,117.0,67.0,44.0,19.0,15.0,5.0,11.0,2.0,3766.0,14.0,1443.0,1993,1990s,18.0
92666,1994-580,Australian Open,Hard,128,G,19940117,127,101948,1.0,,Pete Sampras,R,185.0,USA,22.4339493498,101774,9.0,,Todd Martin,R,198.0,USA,23.5290896646,7-6(4) 6-4 6-4,5,F,,13.0,7.0,131.0,76.0,61.0,27.0,16.0,11.0,13.0,6.0,4.0,120.0,62.0,40.0,31.0,16.0,4.0,8.0,1.0,4154.0,12.0,1751.0,1994,1990s,19.0
94273,1994-520,Roland Garros,Clay,128,G,19940523,127,101843,6.0,,Sergi Bruguera,R,188.0,ESP,23.3483915127,102238,,,Alberto Berasategui,R,173.0,ESP,20.900752909,6-3 7-5 2-6 6-1,5,F,,2.0,1.0,115.0,77.0,55.0,21.0,18.0,6.0,9.0,0.0,1.0,118.0,98.0,61.0,5.0,18.0,4.0,10.0,6.0,2579.0,23.0,1253.0,1994,1990s,2.0
94610,1994-540,Wimbledon,Grass,128,G,19940620,127,101948,1.0,,Pete Sampras,R,185.0,USA,22.855578371,101964,4.0,,Goran Ivanisevic,L,193.0,CRO,22.7679671458,7-6(2) 7-6(5) 6-0,5,F,,17.0,5.0,123.0,66.0,60.0,33.0,15.0,2.0,2.0,25.0,6.0,136.0,89.0,69.0,19.0,15.0,8.0,11.0,1.0,5272.0,5.0,2684.0,1994,1990s,42.0
95480,1994-560,US Open,Hard,128,G,19940829,127,101736,,,Andre Agassi,R,180.0,USA,24.334017796,101529,4.0,,Michael Stich,R,193.0,GER,25.8617385352,6-1 7-6(5) 7-5,5,F,,3.0,2.0,94.0,63.0,54.0,18.0,15.0,2.0,2.0,11.0,10.0,130.0,61.0,47.0,31.0,16.0,7.0,11.0,20.0,1326.0,4.0,2853.0,1994,1990s,14.0
96573,1995-580,Australian Open,Hard,128,G,19950116,127,101736,2.0,,Andre Agassi,R,180.0,USA,24.7173169062,101948,1.0,,Pete Sampras,R,185.0,USA,23.4305270363,4-6 6-1 7-6(6) 6-4,5,F,,10.0,4.0,132.0,95.0,70.0,20.0,19.0,2.0,4.0,28.0,6.0,173.0,104.0,82.0,30.0,20.0,16.0,21.0,2.0,3249.0,1.0,4945.0,1995,1990s,38.0
98142,1995-520,Roland Garros,Clay,128,G,19950529,127,101404,5.0,,Thomas Muster,L,180.0,AUT,27.6550308008,102021,6.0,,Michael Chang,R,175.0,USA,23.2635181383,7-5 6-2 6-4,5,F,,3.0,3.0,95.0,56.0,39.0,23.0,15.0,4.0,6.0,3.0,2.0,94.0,59.0,37.0,16.0,15.0,4.0,10.0,5.0,2675.0,6.0,2669.0,1995,1990s,6.0
98479,1995-540,Wimbledon,Grass,128,G,19950626,127,101948,2.0,,Pete Sampras,R,185.0,USA,23.871321013,101414,3.0,,Boris Becker,R,190.0,GER,27.5920602327,6-7(5) 6-2 6-4 6-2,5,F,149.0,23.0,7.0,136.0,79.0,71.0,34.0,19.0,0.0,0.0,17.0,16.0,173.0,87.0,73.0,28.0,19.0,11.0,16.0,2.0,3873.0,4.0,3387.0,1995,1990s,40.0
99286,1995-560,US Open,Hard,128,G,19950828,127,101948,2.0,,Pete Sampras,R,185.0,USA,24.0438056126,101736,1.0,,Andre Agassi,R,180.0,USA,25.3305954825,6-4 6-3 4-6 7-5,5,F,,24.0,6.0,151.0,89.0,80.0,30.0,21.0,4.0,6.0,8.0,4.0,125.0,72.0,52.0,32.0,20.0,3.0,7.0,2.0,4299.0,1.0,5652.0,1995,1990s,32.0
100373,1996-580,Australian Open,Hard,128,G,19960115,127,101414,4.0,,Boris Becker,R,190.0,GER,28.1478439425,102021,5.0,,Michael Chang,R,175.0,USA,23.8959616701,6-2 6-4 2-6 6-2,5,F,,11.0,6.0,123.0,64.0,54.0,27.0,17.0,7.0,9.0,11.0,6.0,132.0,65.0,51.0,29.0,17.0,18.0,23.0,4.0,3325.0,5.0,3211.0,1996,1990s,22.0
101995,1996-520,Roland Garros,Clay,128,G,19960527,127,102338,6.0,,Yevgeny Kafelnikov,R,190.0,RUS,22.2696783025,101529,15.0,,Michael Stich,R,193.0,GER,27.6057494867,7-6(4) 7-5 7-6(4),5,F,152.0,10.0,8.0,148.0,79.0,64.0,30.0,18.0,6.0,9.0,15.0,6.0,152.0,85.0,63.0,31.0,18.0,9.0,13.0,7.0,2566.0,16.0,1380.0,1996,1990s,25.0
102332,1996-540,Wimbledon,Grass,128,G,19960624,127,101990,17.0,,Richard Krajicek,R,196.0,NED,24.5503080082,101613,,,Malivai Washington,R,180.0,USA,27.0116358658,6-3 6-4 6-3,5,F,94.0,13.0,3.0,87.0,68.0,59.0,8.0,14.0,1.0,2.0,5.0,2.0,95.0,69.0,43.0,11.0,14.0,6.0,11.0,13.0,1642.0,20.0,1333.0,1996,1990s,18.0
103166,1996-560,US Open,Hard,128,G,19960826,127,101948,1.0,,Pete Sampras,R,185.0,USA,25.0403832991,102021,2.0,,Michael Chang,R,175.0,USA,24.5092402464,6-1 6-4 7-6(3),5,F,,,,,,,,,,,,,,,,,,,,1.0,4318.0,3.0,3522.0,1996,1990s,
104113,1997-580,Australian Open,Hard,128,G,19970113,127,101948,1.0,,Pete Sampras,R,185.0,USA,25.4236824093,102845,,,Carlos Moya,R,190.0,ESP,20.3805612594,6-2 6-3 6-3,5,F,86.0,12.0,2.0,83.0,62.0,53.0,10.0,13.0,1.0,2.0,2.0,3.0,84.0,57.0,35.0,8.0,13.0,0.0,6.0,1.0,4865.0,25.0,1401.0,1997,1990s,14.0
105634,1997-520,Roland Garros,Clay,128,G,19970526,127,102856,,,Gustavo Kuerten,R,190.0,BRA,20.7063655031,101843,16.0,,Sergi Bruguera,R,188.0,ESP,26.3572895277,6-3 6-4 6-2,5,F,110.0,4.0,0.0,87.0,48.0,39.0,23.0,13.0,8.0,9.0,1.0,1.0,114.0,76.0,45.0,15.0,14.0,12.0,18.0,66.0,727.0,19.0,1511.0,1997,1990s,5.0
105940,1997-540,Wimbledon,Grass,128,G,19970623,127,101948,1.0,,Pete Sampras,R,185.0,USA,25.864476386,101611,,,Cedric Pioline,R,188.0,FRA,28.0219028063,6-4 6-2 6-4,5,F,94.0,17.0,2.0,95.0,61.0,55.0,22.0,14.0,1.0,1.0,13.0,1.0,92.0,60.0,46.0,16.0,14.0,4.0,8.0,1.0,4743.0,44.0,949.0,1997,1990s,30.0
106762,1997-560,US Open,Hard,128,G,19970825,127,102158,13.0,,Patrick Rafter,R,185.0,AUS,24.6570841889,102257,,,Greg Rusedski,L,193.0,GBR,23.9671457906,6-3 6-2 4-6 7-5,5,F,145.0,7.0,6.0,123.0,76.0,64.0,19.0,20.0,6.0,9.0,9.0,4.0,136.0,85.0,58.0,23.0,19.0,11.0,17.0,14.0,1898.0,20.0,1601.0,1997,1990s,16.0
107736,1998-580,Australian Open,Hard,128,G,19980119,127,101434,6.0,,Petr Korda,L,190.0,CZE,29.9904175222,102701,9.0,,Marcelo Rios,L,175.0,CHI,22.0670773443,6-2 6-2 6-2,5,F,85.0,4.0,4.0,85.0,47.0,38.0,18.0,12.0,5.0,6.0,2.0,4.0,77.0,43.0,27.0,8.0,12.0,5.0,12.0,7.0,2495.0,8.0,2446.0,1998,1990s,6.0
109177,1998-520,Roland Garros,Clay,128,G,19980525,127,102845,12.0,,Carlos Moya,R,190.0,ESP,21.7412731006,102374,14.0,,Alex Corretja,R,180.0,ESP,24.1204654346,6-3 7-5 6-3,5,F,133.0,4.0,0.0,93.0,57.0,42.0,21.0,15.0,4.0,6.0,2.0,3.0,111.0,58.0,38.0,22.0,15.0,12.0,18.0,12.0,2042.0,14.0,1989.0,1998,1990s,6.0
109483,1998-540,Wimbledon,Grass,128,G,19980622,127,101948,1.0,,Pete Sampras,R,185.0,USA,26.8610540726,101964,14.0,,Goran Ivanisevic,L,193.0,CRO,26.7734428474,6-7(2) 7-6(9) 6-4 3-6 6-2,5,F,172.0,11.0,8.0,174.0,96.0,79.0,44.0,25.0,7.0,9.0,32.0,20.0,230.0,132.0,115.0,34.0,26.0,10.0,14.0,1.0,3779.0,25.0,1284.0,1998,1990s,43.0
110354,1998-560,US Open,Hard,128,G,19980831,127,102158,3.0,,Patrick Rafter,R,185.0,AUS,25.6728268309,102882,,,Mark Philippoussis,R,196.0,AUS,21.8124572211,6-3 3-6 6-2 6-0,5,F,,7.0,1.0,94.0,68.0,56.0,15.0,16.0,2.0,3.0,5.0,13.0,135.0,70.0,45.0,23.0,16.0,14.0,20.0,3.0,3577.0,22.0,1468.0,1998,1990s,12.0
111327,1999-580,Australian Open,Hard,128,G,19990118,127,102338,10.0,,Yevgeny Kafelnikov,R,190.0,RUS,24.9144421629,102358,,,Thomas Enqvist,R,190.0,SWE,24.8514715948,4-6 6-0 6-3 7-6(1),5,F,147.0,17.0,6.0,157.0,121.0,92.0,11.0,19.0,3.0,5.0,17.0,5.0,131.0,102.0,75.0,7.0,18.0,5.0,10.0,10.0,2515.0,21.0,1608.0,1999,1990s,34.0
112697,1999-520,Roland Garros,Clay,128,G,19990524,127,101736,13.0,,Andre Agassi,R,180.0,USA,29.067761807,102446,,,Andrei Medvedev,R,193.0,UKR,24.7282683094,1-6 2-6 6-4 6-3 6-4,5,F,172.0,2.0,6.0,138.0,86.0,60.0,24.0,22.0,14.0,19.0,23.0,8.0,159.0,100.0,74.0,24.0,22.0,11.0,15.0,14.0,2101.0,100.0,474.0,1999,1990s,25.0
113003,1999-540,Wimbledon,Grass,128,G,19990621,127,101948,1.0,,Pete Sampras,R,185.0,USA,27.8576317591,101736,4.0,,Andre Agassi,R,180.0,USA,29.144421629,6-3 6-4 7-5,5,F,115.0,16.0,5.0,114.0,76.0,68.0,15.0,16.0,4.0,4.0,5.0,6.0,109.0,49.0,37.0,27.0,15.0,6.0,9.0,1.0,3548.0,4.0,2993.0,1999,1990s,21.0
113794,1999-560,US Open,Hard,128,G,19990830,127,101736,2.0,,Andre Agassi,R,180.0,USA,29.3360711841,101774,7.0,,Todd Martin,R,198.0,USA,29.144421629,6-4 6-7(5) 6-7(2) 6-3 6-2,5,F,203.0,6.0,4.0,160.0,102.0,76.0,38.0,25.0,8.0,8.0,23.0,8.0,152.0,90.0,64.0,37.0,26.0,5.0,10.0,2.0,3650.0,7.0,2327.0,1999,1990s,29.0
116667,2000-520,Roland Garros,Clay,128,G,20000529,127,102856,5.0,,Gustavo Kuerten,R,190.0,BRA,23.7152635181,102796,3.0,,Magnus Norman,R,188.0,SWE,23.9972621492,6-2 6-3 2-6 7-6(6),5,F,224.0,9.0,3.0,144.0,71.0,52.0,30.0,19.0,11.0,16.0,9.0,8.0,172.0,95.0,58.0,37.0,18.0,25.0,32.0,5.0,2382.0,3.0,2868.0,2000,2000s,18.0
116794,2000-540,Wimbledon,Grass,128,G,20000626,127,101948,1.0,,Pete Sampras,R,185.0,USA,28.8733744011,102158,12.0,,Patrick Rafter,R,185.0,AUS,27.4934976044,6-7(10) 7-6(5) 6-4 6-2,5,F,178.0,24.0,12.0,132.0,84.0,74.0,27.0,21.0,2.0,2.0,10.0,7.0,167.0,97.0,73.0,34.0,21.0,11.0,14.0,3.0,3261.0,21.0,1165.0,2000,2000s,34.0
116921,2000-560,US Open,Hard,128,G,20000828,127,103498,6.0,,Marat Safin,R,193.0,RUS,20.5859000684,101948,4.0,,Pete Sampras,R,185.0,USA,29.0458590007,6-4 6-3 6-3,5,F,98.0,12.0,2.0,82.0,40.0,34.0,26.0,14.0,2.0,2.0,8.0,4.0,79.0,50.0,38.0,12.0,14.0,5.0,9.0,7.0,2442.0,4.0,3039.0,2000,2000s,20.0
117110,2000-580,Australian Open,Hard,128,G,20000117,127,101736,1.0,,Andre Agassi,R,180.0,USA,29.7193702943,102338,2.0,,Yevgeny Kafelnikov,R,190.0,RUS,25.9110198494,3-6 6-3 6-2 6-4,5,F,139.0,9.0,5.0,116.0,77.0,52.0,23.0,18.0,4.0,7.0,14.0,9.0,122.0,65.0,42.0,30.0,18.0,11.0,17.0,1.0,4135.0,2.0,2915.0,2000,2000s,23.0
120045,2001-520,Roland Garros,Clay,128,G,20010528,127,102856,1.0,,Gustavo Kuerten,R,190.0,BRA,24.7118412047,102374,13.0,,Alex Corretja,R,180.0,ESP,27.1293634497,6-7(3) 7-5 6-2 6-0,5,F,192.0,10.0,2.0,123.0,72.0,50.0,27.0,19.0,8.0,11.0,5.0,4.0,121.0,64.0,42.0,20.0,19.0,14.0,23.0,1.0,4150.0,13.0,1825.0,2001,2000s,15.0
120203,2001-540,Wimbledon,Grass,128,G,20010625,127,101964,,WC,Goran Ivanisevic,L,193.0,CRO,29.7823408624,102158,3.0,,Patrick Rafter,R,185.0,AUS,28.4900752909,6-3 3-6 6-3 2-6 9-7,5,F,182.0,27.0,15.0,164.0,91.0,74.0,37.0,26.0,3.0,6.0,13.0,4.0,139.0,88.0,68.0,29.0,25.0,3.0,6.0,125.0,321.0,10.0,2120.0,2001,2000s,40.0
120330,2001-560,US Open,Hard,128,G,20010827,127,103720,4.0,,Lleyton Hewitt,R,180.0,AUS,20.5037645448,101948,10.0,,Pete Sampras,R,185.0,USA,30.0424366872,7-6(4) 6-1 6-1,5,F,114.0,7.0,5.0,77.0,49.0,41.0,14.0,13.0,1.0,2.0,11.0,6.0,99.0,59.0,37.0,17.0,13.0,7.0,13.0,4.0,3145.0,10.0,2015.0,2001,2000s,18.0
120519,2001-580,Australian Open,Hard,128,G,20010115,127,101736,6.0,,Andre Agassi,R,180.0,USA,30.7159479808,103096,15.0,,Arnaud Clement,R,173.0,FRA,23.0800821355,6-4 6-2 6-2,5,F,106.0,7.0,1.0,81.0,53.0,38.0,13.0,13.0,4.0,6.0,5.0,7.0,90.0,47.0,28.0,19.0,13.0,8.0,15.0,6.0,2765.0,18.0,1360.0,2001,2000s,12.0
123274,2002-520,Roland Garros,Clay,128,G,20020527,127,102610,20.0,,Albert Costa,R,180.0,ESP,26.9212867899,103507,11.0,,Juan Carlos Ferrero,R,183.0,ESP,22.2861054073,6-1 6-0 4-6 6-3,5,F,150.0,3.0,0.0,102.0,68.0,49.0,17.0,16.0,4.0,7.0,5.0,5.0,111.0,64.0,35.0,18.0,16.0,15.0,24.0,22.0,1295.0,11.0,1955.0,2002,2000s,8.0
123432,2002-540,Wimbledon,Grass,128,G,20020624,127,103720,1.0,,Lleyton Hewitt,R,180.0,AUS,21.3278576318,103900,28.0,,David Nalbandian,R,180.0,ARG,20.476386037,6-1 6-3 6-2,5,F,116.0,5.0,2.0,79.0,42.0,33.0,18.0,12.0,8.0,10.0,2.0,7.0,89.0,51.0,27.0,12.0,12.0,12.0,20.0,1.0,4260.0,32.0,1084.0,2002,2000s,7.0
123559,2002-560,US Open,Hard,128,G,20020826,127,101948,17.0,,Pete Sampras,R,185.0,USA,31.0390143737,101736,6.0,,Andre Agassi,R,180.0,USA,32.3258042437,6-3 6-4 5-7 6-4,5,F,172.0,33.0,13.0,152.0,87.0,70.0,34.0,21.0,10.0,12.0,7.0,4.0,125.0,82.0,55.0,23.0,20.0,4.0,8.0,17.0,1560.0,6.0,2425.0,2002,2000s,40.0
123748,2002-580,Australian Open,Hard,128,G,20020114,127,102563,16.0,,Thomas Johansson,R,180.0,SWE,26.8117727584,103498,9.0,,Marat Safin,R,193.0,RUS,21.9657768652,3-6 6-4 6-4 7-6(4),5,F,173.0,16.0,4.0,115.0,64.0,55.0,27.0,20.0,3.0,6.0,13.0,2.0,142.0,90.0,60.0,28.0,21.0,11.0,14.0,18.0,1375.0,11.0,1920.0,2002,2000s,29.0
126494,2003-520,Roland Garros,Clay,128,G,20030526,127,103507,3.0,,Juan Carlos Ferrero,R,183.0,ESP,23.2826830938,103280,,,Martin Verkerk,R,196.0,NED,24.5667351129,6-1 6-3 6-2,5,F,129.0,2.0,5.0,70.0,39.0,32.0,17.0,12.0,3.0,4.0,12.0,7.0,100.0,47.0,31.0,16.0,12.0,15.0,22.0,3.0,3460.0,46.0,793.0,2003,2000s,14.0
126652,2003-540,Wimbledon,Grass,128,G,20030623,127,103819,4.0,,Roger Federer,R,185.0,SUI,21.8726899384,102882,,,Mark Philippoussis,R,196.0,AUS,26.6228610541,7-6(5) 6-2 7-6(3),5,F,116.0,21.0,2.0,93.0,53.0,47.0,27.0,16.0,0.0,0.0,14.0,4.0,102.0,70.0,54.0,14.0,16.0,3.0,5.0,5.0,2580.0,48.0,735.0,2003,2000s,35.0
126779,2003-560,US Open,Hard,128,G,20030825,127,104053,4.0,,Andy Roddick,R,188.0,USA,20.9856262834,103507,3.0,,Juan Carlos Ferrero,R,183.0,ESP,23.5318275154,6-3 7-6(2) 6-3,5,F,101.0,23.0,2.0,87.0,55.0,49.0,19.0,16.0,3.0,3.0,7.0,1.0,90.0,57.0,42.0,15.0,14.0,3.0,5.0,4.0,3415.0,3.0,3625.0,2003,2000s,30.0
126968,2003-580,Australian Open,Hard,128,G,20030113,127,101736,2.0,,Andre Agassi,R,180.0,USA,32.7091033539,102783,31.0,,Rainer Schuettler,R,180.0,GER,26.7186858316,6-2 6-2 6-1,5,F,76.0,7.0,1.0,58.0,39.0,29.0,14.0,11.0,0.0,1.0,4.0,4.0,65.0,33.0,19.0,9.0,12.0,5.0,13.0,2.0,3395.0,36.0,945.0,2003,2000s,11.0
129697,2004-520,Roland Garros,Clay,128,G,20040524,127,103292,,,Gaston Gaudio,R,175.0,ARG,25.4565366188,103909,3.0,,Guillermo Coria,R,175.0,ARG,22.3600273785,0-6 3-6 6-4 6-1 8-6,5,F,211.0,2.0,9.0,149.0,99.0,57.0,23.0,23.0,12.0,23.0,5.0,6.0,136.0,89.0,46.0,22.0,23.0,4.0,15.0,44.0,780.0,3.0,3490.0,2004,2000s,7.0
129855,2004-540,Wimbledon,Grass,128,G,20040621,127,103819,1.0,,Roger Federer,R,185.0,SUI,22.8692676249,104053,2.0,,Andy Roddick,R,188.0,USA,21.8097193703,4-6 7-5 7-6(3) 6-4,5,F,151.0,12.0,3.0,154.0,95.0,64.0,34.0,22.0,10.0,14.0,11.0,5.0,133.0,81.0,60.0,21.0,22.0,5.0,10.0,1.0,5610.0,2.0,4695.0,2004,2000s,23.0
129982,2004-560,US Open,Hard,128,G,20040830,127,103819,1.0,,Roger Federer,R,185.0,SUI,23.06091718,103720,4.0,,Lleyton Hewitt,R,180.0,AUS,23.5126625599,6-0 7-6(3) 6-0,5,F,109.0,11.0,1.0,89.0,49.0,38.0,22.0,12.0,5.0,6.0,1.0,4.0,75.0,41.0,23.0,12.0,12.0,6.0,13.0,1.0,5910.0,5.0,2605.0,2004,2000s,12.0
130171,2004-580,Australian Open,Hard,128,G,20040119,127,103819,2.0,,Roger Federer,R,185.0,SUI,22.4476386037,103498,,,Marat Safin,R,193.0,RUS,23.9780971937,7-6(3) 6-4 6-2,5,F,135.0,8.0,2.0,90.0,48.0,36.0,25.0,15.0,1.0,3.0,3.0,5.0,116.0,57.0,36.0,28.0,15.0,13.0,18.0,2.0,4375.0,86.0,430.0,2004,2000s,11.0
133017,2005-520,Roland Garros,Clay,128,G,20050523,127,104745,4.0,,Rafael Nadal,L,185.0,ESP,18.970568104,103264,,,Mariano Puerta,L,180.0,ARG,26.674880219,6-7(6) 6-3 6-1 7-5,5,F,204.0,7.0,3.0,137.0,108.0,73.0,12.0,20.0,11.0,14.0,4.0,2.0,137.0,83.0,53.0,23.0,20.0,10.0,18.0,5.0,2600.0,37.0,927.0,2005,2000s,11.0
133175,2005-540,Wimbledon,Grass,128,G,20050620,127,103819,1.0,,Roger Federer,R,185.0,SUI,23.8658453114,104053,2.0,,Andy Roddick,R,188.0,USA,22.8062970568,6-2 7-6(2) 6-4,5,F,101.0,12.0,0.0,79.0,49.0,40.0,22.0,15.0,1.0,2.0,7.0,1.0,96.0,68.0,46.0,11.0,15.0,5.0,9.0,1.0,6980.0,4.0,3590.0,2005,2000s,19.0
133302,2005-560,US Open,Hard,128,G,20050829,127,103819,1.0,,Roger Federer,R,185.0,SUI,24.0574948665,101736,7.0,,Andre Agassi,R,180.0,USA,35.3347022587,6-3 2-6 7-6(1) 6-1,5,F,139.0,19.0,0.0,107.0,81.0,60.0,15.0,19.0,3.0,6.0,6.0,4.0,131.0,78.0,45.0,29.0,17.0,14.0,18.0,1.0,6975.0,7.0,2190.0,2005,2000s,25.0
133491,2005-580,Australian Open,Hard,128,G,20050117,127,103498,4.0,,Marat Safin,R,193.0,RUS,24.9746748802,103720,3.0,,Lleyton Hewitt,R,180.0,AUS,23.8959616701,1-6 6-3 6-4 6-4,5,F,165.0,18.0,1.0,110.0,66.0,48.0,25.0,18.0,5.0,8.0,7.0,3.0,125.0,61.0,43.0,33.0,18.0,7.0,11.0,4.0,3060.0,3.0,3590.0,2005,2000s,25.0
136311,2006-520,Roland Garros,Clay,128,G,20060529,127,104745,2.0,,Rafael Nadal,L,185.0,ESP,19.9863107461,103819,1.0,,Roger Federer,R,185.0,SUI,24.8049281314,1-6 6-1 6-4 7-6(4),5,F,182.0,3.0,0.0,111.0,85.0,59.0,17.0,18.0,7.0,10.0,8.0,1.0,119.0,72.0,49.0,25.0,18.0,8.0,12.0,2.0,4545.0,1.0,7010.0,2006,2000s,11.0
136469,2006-540,Wimbledon,Grass,128,G,20060626,127,103819,1.0,,Roger Federer,R,185.0,SUI,24.8815879535,104745,2.0,,Rafael Nadal,L,185.0,ESP,20.0629705681,6-0 7-6(5) 6-7(2) 6-3,5,F,178.0,13.0,1.0,119.0,83.0,64.0,20.0,20.0,1.0,3.0,9.0,3.0,127.0,94.0,64.0,14.0,19.0,4.0,10.0,1.0,7260.0,2.0,4545.0,2006,2000s,22.0
136596,2006-560,US Open,Hard,128,G,20060828,127,103819,1.0,,Roger Federer,R,185.0,SUI,25.054072553,104053,9.0,,Andy Roddick,R,188.0,USA,23.9945242984,6-2 4-6 7-5 6-1,5,F,145.0,17.0,0.0,103.0,63.0,53.0,20.0,19.0,6.0,8.0,7.0,1.0,122.0,80.0,53.0,16.0,18.0,10.0,16.0,1.0,7295.0,10.0,1890.0,2006,2000s,24.0
